SMILES,MW,LogP,TPSA,QED,DrugScore,KMeans_Cluster
CC1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CC11CCNCC1,388.44,2.08,87.46,0.8372,0.8498976190476191,1
CN1CCN(c2nc3c(Cl)ccc(OC(=O)N4CCN(C)CC4)c3s2)CC1,409.94,2.448,52.15,0.759,0.8440602380952381,2
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,289.38,1.931,49.77,0.8606,0.8416483333333336,0
CN1CN(c2c(Cl)ccc(N)c2Cl)c2ncc(Cl)cc2C1=O,357.63,3.805,62.46,0.7885,0.8242233333333335,1
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,381.38,3.514,77.98,0.7541,0.8214652380952383,1
Nc1ncc2c(Nc3cccc(Cl)c3F)ncnc2n1,290.69,2.538,89.61,0.7536,0.8180202380952382,1
OC(=O)Cc1ccc(Cn2ncc3cc(Cl)ccc32)cc1,300.75,3.365,55.12,0.8035,0.8179238095238095,1
OC(COc1ccccc1CC1CCNCC1)c1ccccc1,311.42,3.341,41.49,0.8595,0.8160226190476192,0
CN(C(=O)c1cc(=O)[nH]c2cc(Cl)ccc12)c1ccc(F)cc1F,348.74,3.736,53.17,0.7668,0.8142016666666667,2
OC1=CC=C(C=C1)C2=CC(=O)C3=CC(=O)CC(=O)C3=C2,266.25,1.753,71.44,0.786,0.8095295238095239,2
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,334.4,0.861,86.71,0.7978,0.7990540476190477,1
CCOC(=O)c1c(CCN2CCCCC2)nc2cc(Cl)ccc2c1C,360.89,4.402,42.43,0.7409,0.7827488095238095,2
CN(C)CCCN1c2ccccc2CCc2ccccc21,280.42,3.875,6.48,0.8385,0.7793733333333334,1
CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28,3.073,37.3,0.8216,0.7680109523809524,0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1,288.29,0.597,81.65,0.7431,0.7644821428571429,1
CN1CCC23c4c(O)ccc(O)c4OC2C(=O)CCC3C1,289.33,1.411,70.0,0.7068,0.7561580952380953,0
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,288.43,3.879,37.3,0.7342,0.7477538095238097,0
OC(=O)c1ccc2cc3ccccc3cc2n1,223.23,3.086,50.19,0.6448,0.7171983333333334,2
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc([N+](=O)[O-])cc1)C(=O)OCC,374.39,2.956,107.77,0.4632,0.7099611904761907,2
OC(=O)C(N)Cc1c[nH]c2ccccc12,204.23,1.122,79.11,0.7006,0.6810811904761905,0
