ChEMBL_ID,Name,SMILES,MW,Source
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.41,ChEMBL
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,ChEMBL
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.24,ChEMBL
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.79,ChEMBL
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,233.24,ChEMBL
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,300.3,ChEMBL
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.35,ChEMBL
CHEMBL9,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.34,ChEMBL
CHEMBL6622,ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.14,ChEMBL
CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.37,ChEMBL
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.42,ChEMBL
CHEMBL406,INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84,ChEMBL
CHEMBL407,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,303.29,ChEMBL
CHEMBL408,TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,441.55,ChEMBL
CHEMBL409,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,ChEMBL
CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.75,ChEMBL
CHEMBL13,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.37,ChEMBL
CHEMBL411,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.36,ChEMBL
CHEMBL16,PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27,ChEMBL
CHEMBL415,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,ChEMBL
CHEMBL416,METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12,216.19,ChEMBL
