ChEMBL_ID,Name,SMILES,MW,Source,Tanimoto_MaxSim,Best_Match_Ref,P_EGFR_active,QED,Repurposing_Score
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.41,ChEMBL,0.1692,Gefitinib,0.6302,0.7266,0.4651
CHEMBL611,TERAZOSIN,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,387.44,ChEMBL,0.1579,Gefitinib,0.5882,0.8306,0.4646
CHEMBL707,DOXAZOSIN,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,451.48,ChEMBL,0.1458,Gefitinib,0.6208,0.6335,0.4333
CHEMBL22,TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.32,ChEMBL,0.1069,Osimertinib,0.549,0.8534,0.433
CHEMBL709,ALFUZOSIN,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,389.46,ChEMBL,0.1645,Osimertinib,0.5908,0.6509,0.4323
CHEMBL438,SULFAMERAZINE,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,264.31,ChEMBL,0.1328,Osimertinib,0.5219,0.8107,0.424
CHEMBL446,SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,278.34,ChEMBL,0.11,Erlotinib,0.5128,0.8285,0.4148
CHEMBL36,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,248.72,ChEMBL,0.1111,Erlotinib,0.4944,0.8561,0.4134
CHEMBL119,TRIMETREXATE,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,369.43,ChEMBL,0.1172,Gefitinib,0.6094,0.607,0.412
CHEMBL439,SULFADIAZINE,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,250.28,ChEMBL,0.112,Lapatinib,0.5135,0.7871,0.4076
CHEMBL585,TRIAMTERENE,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,253.27,ChEMBL,0.0762,Erlotinib,0.5742,0.5852,0.3772
